evaluation_id,environment_family_id,instance_id,arm_id,numerator,denominator,requested_rate,selector_rule_id,schema_seed,base_state_count,base_edge_count,selected_edge_count,realized_selected_edge_share,expected_selected_edge_count,selected_edge_count_residual_from_expectation,construction_rule,block_id
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_v001,counterpoint_symbolic_n3_small_v001,no_contraction_control,0,1,0.0,no_contraction_control,0,108,1140,0,0.0,0.0,0.0,identity_no_contraction,none
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_v001,counterpoint_symbolic_n3_small_v001,no_contraction_control,0,1,0.0,no_contraction_control,1,108,1140,0,0.0,0.0,0.0,identity_no_contraction,none
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_v001,counterpoint_symbolic_n3_small_v001,no_contraction_control,0,1,0.0,no_contraction_control,2,108,1140,0,0.0,0.0,0.0,identity_no_contraction,none
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_v001,counterpoint_symbolic_n3_small_v001,p001_over_144,1,144,0.006944444444444444,counterpoint_sha256_edge_threshold_v001,0,108,1140,8,0.007017543859649123,7.916666666666666,0.08333333333333393,coupled_sha256_edge_threshold,noisy_rate_p001_over_144_block_0
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_v001,counterpoint_symbolic_n3_small_v001,p001_over_144,1,144,0.006944444444444444,counterpoint_sha256_edge_threshold_v001,1,108,1140,4,0.0035087719298245615,7.916666666666666,-3.916666666666666,coupled_sha256_edge_threshold,noisy_rate_p001_over_144_block_0
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_v001,counterpoint_symbolic_n3_small_v001,p001_over_144,1,144,0.006944444444444444,counterpoint_sha256_edge_threshold_v001,2,108,1140,10,0.008771929824561403,7.916666666666666,2.083333333333334,coupled_sha256_edge_threshold,noisy_rate_p001_over_144_block_0
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_v001,counterpoint_symbolic_n3_small_v001,p001_over_036,1,36,0.027777777777777776,counterpoint_sha256_edge_threshold_v001,0,108,1140,26,0.02280701754385965,31.666666666666664,-5.666666666666664,coupled_sha256_edge_threshold,noisy_rate_p001_over_036_block_0
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_v001,counterpoint_symbolic_n3_small_v001,p001_over_036,1,36,0.027777777777777776,counterpoint_sha256_edge_threshold_v001,1,108,1140,29,0.02543859649122807,31.666666666666664,-2.6666666666666643,coupled_sha256_edge_threshold,noisy_rate_p001_over_036_block_0
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_v001,counterpoint_symbolic_n3_small_v001,p001_over_036,1,36,0.027777777777777776,counterpoint_sha256_edge_threshold_v001,2,108,1140,34,0.02982456140350877,31.666666666666664,2.3333333333333357,coupled_sha256_edge_threshold,noisy_rate_p001_over_036_block_0
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_v001,counterpoint_symbolic_n3_small_v001,p001_over_018,1,18,0.05555555555555555,counterpoint_sha256_edge_threshold_v001,0,108,1140,55,0.04824561403508772,63.33333333333333,-8.333333333333329,coupled_sha256_edge_threshold,noisy_rate_p001_over_018_block_0
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_v001,counterpoint_symbolic_n3_small_v001,p001_over_018,1,18,0.05555555555555555,counterpoint_sha256_edge_threshold_v001,1,108,1140,58,0.05087719298245614,63.33333333333333,-5.333333333333329,coupled_sha256_edge_threshold,noisy_rate_p001_over_018_block_0
counterpoint_noisy_rate_contraction_diagnostics_v001,counterpoint_symbolic_v001,counterpoint_symbolic_n3_small_v001,p001_over_018,1,18,0.05555555555555555,counterpoint_sha256_edge_threshold_v001,2,108,1140,69,0.060526315789473685,63.33333333333333,5.666666666666671,coupled_sha256_edge_threshold,noisy_rate_p001_over_018_block_0
