evaluation_id,schema_class_id,selected_tier,predicted_movement_direction,control_action,blocked_reason,event_count
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,,no_executable_unclosed,exploit_execute,no_executable_unclosed,16
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,,no_executable_unclosed,train,no_executable_unclosed,8
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,at_selected,exploit_execute,,3
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,at_selected,explore,,45
counterpoint_second_serious_schema_comparison_v001,schema0_no_contraction,0,at_selected,train,,8
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,at_selected,exploit_execute,lift_failure,5
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,at_selected,explore,,16
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,at_selected,explore,lift_failure,347
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,at_selected,train,,112
counterpoint_second_serious_schema_comparison_v001,schema1_noisy_rate_one_drop,4,descend,descend,,32
