schema_id,schema_family_id,schema_seed,structural_class,candidate_signal,candidate_signal_reason,schema_mode,selection_rate,ratio_numerator,ratio_denominator,max_iterations,selector_rule_id,selection_mode,max_depth,nontrivial_tier_count,first_nonbase_tier_state_cell_count,largest_cell_share,active_action_cell_min,active_action_cell_mean,lift_success_probe_count,lift_failure_probe_count,selected_edge_count,zero_selected_source_count,recommended_for_candidate_discovery,blocking_reason,near_full_collapse_threshold
plate_support_schema_no_contraction_v001,no_contraction,0,flat_control,control_anchor,no-contraction control anchor,none,not_applicable,,,,not_applicable,not_applicable,1,0,0,0.1111111111111111,8,8.0,8,0,not_applicable,not_available,False,,0.9
plate_support_schema_upstream_default_v001,upstream_default,0,full_first_projection_collapse,blocked_signal,first non-base tier collapses all observed states,default,not_applicable,,,,not_applicable,not_applicable,2,0,1,1.0,0,4.0,8,1,not_applicable,not_available,False,full_first_projection_collapse,0.9
plate_support_schema_source_local_ratio_001_over_018_v001,source_local_ratio,0,nonflat_structured,eligible_signal,non-flat tower with executable action surface in smoke probe,source_local_ratio,1/18,1,18,1,source_local_outgoing_ratio_catch,legacy_source_local_ceil_prefix,2,1,10,0.2247191011235955,6,7.0,14,0,89,0,True,,0.9
plate_support_schema_source_local_ratio_iterated_001_over_144_i032_v001,source_local_ratio_iterated,0,nonflat_structured,eligible_signal,many-tier iterated tower with executable action surface,source_local_ratio_iterated,1/144,1,144,32,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,18,17,83,0.15730337078651685,6,7.0,126,0,43,not_available,True,,0.9
plate_support_schema_source_local_ratio_iterated_001_over_072_i032_v001,source_local_ratio_iterated,0,nonflat_structured,eligible_signal,many-tier iterated tower with executable action surface,source_local_ratio_iterated,1/72,1,72,32,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,11,10,79,0.20224719101123595,5,6.181818181818182,68,0,46,not_available,True,,0.9
plate_support_schema_source_local_ratio_iterated_001_over_036_i032_v001,source_local_ratio_iterated,0,runtime_unexecutable,blocked_signal,at least one non-base iterated tier has no executable action cells,source_local_ratio_iterated,1/36,1,36,32,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,11,10,73,0.7528089887640449,0,4.2727272727272725,47,1,72,not_available,False,runtime_unexecutable,0.9
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,near_full_collapse,warning_signal,largest non-base tier cell share exceeds threshold,source_local_ratio_iterated,1/18,1,18,32,plate_support_source_local_iterated_stable_rate_v001,quotient_source_representative_stable_rate,12,10,64,0.9213483146067416,0,1.9166666666666667,23,9,93,not_available,False,near_full_collapse,0.9
plate_support_schema_plate_motion_actions_v001,action_category,0,construction_failed,blocked_signal,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,0.9
plate_support_schema_arm_extension_actions_v001,action_category,0,construction_failed,blocked_signal,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,0.9
plate_support_schema_motion_vs_support_actions_v001,action_category,0,construction_failed,blocked_signal,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,current upstream PlateSupport probe accepts only schema_mode default or none; action-category schema construction is unavailable,0.9
plate_support_schema_edge_global_noisy_rate_001_over_388_v001,edge_global_noisy_rate,0,construction_failed,blocked_signal,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,not_supported,1/388,,,,not_applicable,not_applicable,0,0,0,0.0,0,0.0,0,0,1,not_available,False,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,0.9
plate_support_schema_edge_global_noisy_rate_002_over_388_v001,edge_global_noisy_rate,0,construction_failed,blocked_signal,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,not_supported,2/388,,,,not_applicable,not_applicable,0,0,0,0.0,0,0.0,0,0,2,not_available,False,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,0.9
plate_support_schema_edge_global_noisy_rate_004_over_388_v001,edge_global_noisy_rate,0,construction_failed,blocked_signal,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,not_supported,4/388,,,,not_applicable,not_applicable,0,0,0,0.0,0,0.0,0,0,4,not_available,False,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,0.9
plate_support_schema_edge_global_noisy_rate_008_over_388_v001,edge_global_noisy_rate,0,construction_failed,blocked_signal,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,not_supported,8/388,,,,not_applicable,not_applicable,0,0,0,0.0,0,0.0,0,0,8,not_available,False,current upstream PlateSupport schema surface does not expose edge-global selected-edge schema construction,0.9
plate_support_schema_position_only_v001,geometry_coordinate,0,construction_failed,blocked_signal,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,0.9
plate_support_schema_orientation_only_v001,geometry_coordinate,0,construction_failed,blocked_signal,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,0.9
plate_support_schema_support_pattern_only_v001,geometry_coordinate,0,construction_failed,blocked_signal,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,0.9
plate_support_schema_reachability_pattern_only_v001,geometry_coordinate,0,construction_failed,blocked_signal,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,0.9
plate_support_schema_position_support_v001,geometry_coordinate,0,construction_failed,blocked_signal,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,state-feature PlateSupport schema construction is not exposed by the current upstream probe/runtime API,0.9
plate_support_schema_full_single_block_v001,controlled_degeneracy,0,construction_failed,degeneracy_anchor,controlled degeneracy anchors require schema construction surfaces not currently exposed for PlateSupport,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,controlled degeneracy anchors require schema construction surfaces not currently exposed for PlateSupport,0.9
plate_support_schema_source_local_one_drop_v001,controlled_degeneracy,0,construction_failed,degeneracy_anchor,controlled degeneracy anchors require schema construction surfaces not currently exposed for PlateSupport,not_supported,not_applicable,,,,not_applicable,not_applicable,0,0,0,0.0,0,0.0,0,0,not_applicable,not_available,False,controlled degeneracy anchors require schema construction surfaces not currently exposed for PlateSupport,0.9
